CLUS_ID,SPA
1_1172,30.232
1_11985,75.919
1_1224,35.353
1_12282,92.286
1_12313,91.798
1_12320,92.069
1_12336,92.923
1_12405,6.836
1_12452,95.008
1_1277,46.765
1_1373,51.951
1_14426,83.56
1_14486,82.716
1_14534,85.446
1_14572,85.629
1_14573,86.071
1_14630,85.992
1_14725,91.021
1_14730,91.181
1_14734,91.35
1_14884,6.576
1_14941,96.579
1_1597,76.236
1_1607,77.235
1_1626,85.344
1_1645,84.878
1_16496,79.425
1_1652,82.785
1_1663,83.102
1_16658,84.163
1_19442,92.102
1_19455,91.185
1_19486,92.952
1_21333,89.407
1_21412,90
1_21472,90
1_21512,89.868
1_21533,90.471
1_21538,90.497
1_21549,90
1_21627,90
1_21642,90
1_21766,91
1_21798,88.901
1_21809,88.948
1_21855,88.808
1_21887,90
1_23615,90
1_23986,88.343
1_23993,88.159
1_24090,87.648
1_24142,88.718
1_24161,87.332
1_24197,88.543
1_2528,35.209
1_2535,39.226
1_2536,38.897
1_2626,39.652
1_2647,49.758
1_2785,57.097
1_3021,80.721
1_3056,83.044
1_3224,95.59
1_3259,99.229
1_3459,108.728
1_3460,115.292
1_3563,116.431
1_4029,41.273
1_4056,40.458
1_4219,56.034
1_4320,63.525
1_4357,67.673
1_4392,69.722
1_4409,70.889
1_4454,77.598
1_4456,78.518
1_4864,105.105
1_5811,52.001
1_5823,51.522
1_6194,77.975
1_6202,78.224
1_6257,81.887
1_6288,85.273
1_6379,92.086
1_9618,89.737
1_9772,94.221
1_9773,94.619
1_9786,93.852
1_9789,95.232
1_9849,98.89