recno,ABELL,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,_RA_icrs,_DE_icrs
92,533,74.79999999999998,-22.699999999999996,"F486",-110,125,"R  ","III",37, ,14.4, ,14.7, ,15.5, ," ",274,289,223.18,-33.72,0.0472, ,0,3,15.6,3,C,, ,75.32824722222222,-22.62822111111111
93,540,80.82499999999999,-25.766666666666662,"F487",-85,-39,"RI ","II-III",84, ,17.2, ,17.5, ,18.5, ," ",249,125,228.64,-29.48,, ,2,5,17.2,1,C,, ,81.33293416666666,-25.723472499999996
94,543,82.12499999999999,-22.48333333333333,"F554",-98,-133,"RI ","II",90, ,17.6, ,18.5,:,19.2, ," ",262,31,225.56,-27.27,, ,2,6,17.3,1,O,2,C,82.65146416666666,-22.446436944444443
95,544,82.225,-25.999999999999996,"F487",-18,-52,"I  ","III",92, ,17.2, ,17.6, ,18.1, ," ",182,112,229.35,-28.36,, ,2,5,17.2,1,C,, ,82.7310561111111,-25.963534722222217
96,548,86.225,-25.649999999999995,"F488",-90,-33,"RI ","I-II",92, ,13.3, ,13.5, ,14.6, ," ",254,131,230.3,-24.84,0.041, ,2,2,14.6,1,O,, ,86.73217972222221,-25.632882499999997
97,550,87.69999999999999,-21.083333333333332,"F555",-79,-56,"R  ","I-II",50, ,15.6, ,15.8, ,16.8, ," ",243,108,226.19,-21.94,, ,1,5,16.8,1,O,, ,88.23332777777776,-21.073440277777774
98,551,88.1,-17.749999999999996,"F555",-60,123,"IR ","II-III",143, ,17.6, ,18.3, ,18.8, ," ",224,287,223.05,-20.3,, ,3,5,17.1,1,O,, ,88.65150777777777,-17.742095
99,555,93.72499999999998,-17.23333333333333,"F556",-44,147,"I  ","I-II",62, ,16.2, ,16.5, ,17.5, ," ",208,311,224.84,-15.19,, ,1,5,16.8,1,C,1,O,94.27936833333332,-17.25275361111111
100,823,142.67499999999998,-25.63333333333333,"F498",-18,-31,"R  ","II-III:",98, ,17.8, ,18.2, ,19.2, ," ",182,133,256.59,18.66,, ,2,6,17.4,1,C,, ,143.2347072222222,-25.85556555555555
101,842,144.02499999999998,-20.749999999999996,"F565",109,-40,"I  ","II:",39, ,14.6,?,16.5, ,17.1, ," ",55,124,253.77,22.96,, ,0,5,17.2,1,C,1,O,144.60369583333332,-20.97614444444444
102,857,144.97499999999997,-22.43333333333333,"F498",95,140,"RI:","II-III",63, ,16.1,?,17.0, ,18.0, ," ",69,304,255.75,22.41,, ,1,6,17.3,2,C,1,O,145.54972638888887,-22.662136111111106
103,916,150.34999999999997,-19.116666666666664,"F567",-97,48,"I  ","II-III",33, ,17.5, ,17.9, ,18.9, ," ",261,212,257.24,28.27,, ,0,6,17.4,1,C,, ,150.94297416666666,-19.359343888888887
104,955,152.64999999999998,-24.249999999999996,"F500",-67,42,"R  ","II-III",84, ,17.6,?,17.9, ,18.6, ," ",231,206,262.82,25.77,, ,2,6,17.4,1,C,, ,153.23322166666665,-24.497954999999997
105,966,153.47499999999997,-25.166666666666664,"F500",-26,-8,"R  ","II:",65, ,17.0,?,17.6, ,18.5, ," ",190,156,264.1,25.51,, ,1,6,17.4,1,C,, ,154.0574522222222,-25.416420277777775
106,1060,158.575,-27.249999999999996,"F501",-45,-121,"RI ","III",39, ,11.5, ,11.8, ,12.7,:," ",209,43,269.59,26.5,0.0114, ,0,0,13.0,1,C,1,O,159.16362999999998,-27.509714722222217
107,1088,160.54999999999998,-19.216666666666665,"F569",-113,42,"RI ","II-III",25, ,15.6, ,16.0, ,16.8, ," ",277,206,266.15,34.18,, ,0,5,17.2,2,C,, ,161.15855305555553,-19.479691666666664
108,1090,160.79999999999998,-18.083333333333332,"F569",-101,105,"R  ","II",32,*,15.6, ,16.6, ,17.3,:," ",265,269,265.61,35.25,, ,0,6,17.4,2,C,, ,161.41094833333332,-18.34675472222222
109,1146,164.7,-22.449999999999996,"F569",95,-131,"R  ","I?",162,:,15.8, ,17.0, ,17.7, ," ",69,33,272.17,33.49,0.141, ,3,6,17.4,2,C,1,O,165.3106597222222,-22.718950277777775
110,1160,165.67499999999998,-18.699999999999996,"F570",-122,71,"IR:","III",68, ,18.4,:,18.6,:,19.2,?," ",286,235,270.87,37.2,, ,1,6,17.6,2,C,, ,166.29262277777775,-18.97013611111111
111,1161,165.72499999999997,-21.849999999999998,"F570",-117,-98,"I  ","III",53, ,16.6,?,17.0,?,17.8,:," ",281,66,272.82,34.47,, ,1,6,17.4,2,C,, ,166.33849138888885,-22.12019694444444
112,1163,165.825,-21.266666666666662,"F570",-110,-68,"R: ","II",85, ,16.1,?,17.0, ,17.8, ," ",274,96,272.58,35.03,, ,2,6,17.4,1,C,, ,166.43946972222219,-21.536980277777776
113,1165,165.95,-24.48333333333333,"F502",43,30,"R  ","I-II",50, ,17.8,?,18.9, ,19.2, ," ",121,194,274.53,32.25,, ,1,6,17.6,1,O,, ,166.56031083333332,-24.753793888888886
114,1181,166.67499999999998,-19.48333333333333,"F570",-68,29,"I  ","II-III",89, ,17.7, ,18.0, ,18.7, ," ",232,193,272.38,36.98,, ,2,6,17.5,1,C,, ,167.29327388888888,-19.754606666666664
115,1217,168.77499999999998,-24.98333333333333,"F503",-86,2,"RI ","I-II",73, ,16.9, ,18.1, ,19.3, ," ",250,166,277.52,32.94,, ,1,6,17.6,1,O,, ,169.39090527777776,-25.256729722222218
116,1233,169.825,-18.68333333333333,"F570",90,72,"R  ","I-II",69, ,17.3,?,17.9, ,18.7, ," ",74,236,275.28,39.05,, ,1,6,17.5,1,C,, ,170.44937666666664,-18.95764444444444
117,1300,172.34999999999997,-19.63333333333333,"F571",-47,20,"I  ","II-III",80, ,18.6, ,18.9, ,19.4, ," ",211,184,278.58,39.17,, ,2,6,17.6,1,C,, ,172.97785555555552,-19.90948194444444
118,1311,172.7,-23.816666666666663,"F503",107,64,"RI:","II:",25, ,18.3, ,18.4, ,18.8, ," ",57,228,280.94,35.42,, ,0,6,17.6,2,O,, ,173.3255869444444,-24.09303305555555
119,1347,174.825,-25.266666666666662,"F504",-60,-11,"RI ","I",47,:,15.1, ,15.5, ,16.8, ," ",224,153,283.77,34.72,, ,0,5,17.2,1,O,, ,175.45443388888887,-25.544101944444442
120,1352,174.87499999999997,-21.199999999999996,"F571",79,-64,"I  ","III",95, ,18.9, ,19.1, ,19.7, ," ",85,100,282.15,38.58,, ,2,6,17.6,1,C,, ,175.50651944444442,-21.477450277777773
121,1418,178.325,-18.349999999999998,"F572",-11,89,"R  ","II",60, ,16.3, ,16.8, ,17.7,:," ",175,253,285.02,42.3,, ,1,6,17.4,1,C,, ,178.96344166666665,-18.62834833333333
122,1440,179.52499999999998,-23.13333333333333,"F505",-100,102,"IR ","I-II",44, ,17.7, ,18.4, ,19.1, ," ",264,266,288.11,37.99,, ,0,6,17.6,1,O,1,C,180.1653222222222,-23.411766388888886
123,1450,180.14999999999998,-23.03333333333333,"F505",-69,107,"R  ","II",83, ,17.2,:,18.0, ,19.0, ," ",233,271,288.79,38.23,, ,2,6,17.6,1,O,1,C,180.7916261111111,-23.311757777777775
124,1451,180.22499999999997,-21.266666666666662,"F572",83,-68,"R  ","II-III",155, ,17.9, ,18.4, ,18.9, ," ",81,96,288.33,39.96,, ,3,6,17.5,1,C,, ,180.8666869444444,-21.545085277777776
125,1511,183.52499999999998,-18.966666666666665,"F573",-12,56,"R  ","II-III",97, ,15.9, ,16.6, ,17.5, ," ",176,220,291.72,42.87,, ,2,6,17.4,1,C,, ,184.17212611111108,-19.244466666666664
126,1537,185.99999999999997,-25.549999999999997,"F506",-49,-29,"RI:","II",49,:,18.3, ,18.7, ,19.3, ," ",213,135,295.97,36.71,, ,0,6,17.6,1,C,1,O,186.65541694444443,-25.82674222222222
127,1584,189.57499999999996,-18.349999999999998,"F574",27,89,"I  ","II-III",53, ,16.7, ,16.8, ,18.0, ," ",137,253,299.47,44.18,, ,1,6,17.5,1,O,, ,190.23167277777776,-18.62427861111111
128,1604,190.32499999999996,-22.849999999999998,"F507",-110,115,"R  ","II",53,:,17.0, ,17.6, ,18.3, ," ",274,279,300.7,39.72,, ,1,6,17.5,2,O,1,C,190.98750388888885,-23.123632777777775
129,1625,192.12499999999997,-20.53333333333333,"F575",-109,-27,"I  ","II-III",12, ,16.0, ,16.3, ,16.9, ," ",273,137,302.85,42.07,, ,0,6,17.3,1,O,, ,192.7883233333333,-20.80521
130,1633,192.77499999999998,-26.13333333333333,"F507",10,-60,"R  ","I-II",100, ,18.1, ,18.6, ,19.5, ," ",154,104,303.59,36.46,, ,2,6,17.6,1,O,, ,193.44683888888886,-26.404515277777776
131,1644,193.64999999999998,-17.13333333333333,"F575",-33,155,"R  ","I",92,:,13.5, ,14.5, ,15.7, ," ",197,319,304.91,45.45,0.0449, ,2,4,16.1,1,O,, ,194.31157999999996,-17.403511111111108
132,1648,194.04999999999998,-26.349999999999998,"F507",72,-73,"IR ","I-II",13, ,15.1, ,15.9, ,16.7, ," ",92,91,305.01,36.22,, ,0,5,17.1,1,O,, ,194.72513999999998,-26.619708055555552
133,1664,195.17499999999998,-24.016666666666662,"F507",129,51,"R: ","II",88, ,16.0, ,17.4, ,18.0, ," ",35,215,306.42,38.51,, ,2,6,17.5,1,O,, ,195.8490594444444,-24.284961388888885
134,1699,198.04999999999998,-21.816666666666663,"F576",-74,-97,"RI ","II-III",114, ,15.8,?,17.3, ,18.0, ," ",238,67,310.09,40.46,, ,2,6,17.5,1,O,, ,198.72607027777775,-22.080884166666664
135,1709,199.02499999999998,-21.18333333333333,"F576",-26,-63,"I  ","II",0, ,14.7, ,15.3, ,16.0, ," ",190,101,311.39,40.98,, ,0,4,16.4,1,O,, ,199.70169694444442,-21.446016388888886
136,1727,200.34999999999997,-22.816666666666663,"F576",42,-151,"I  ","I",30,:,18.0, ,18.5, ,18.9, ," ",122,13,312.65,39.18,, ,0,6,17.6,1,O,1,C,201.0323308333333,-23.077142777777773
137,1732,200.59999999999997,-19.966666666666665,"F576",54,1,"RI ","I-II",116, ,17.0, ,18.3, ,18.6, ," ",110,165,313.58,41.95,, ,2,6,17.5,1,O,, ,201.2770858333333,-20.226711111111108
138,1736,201.07499999999996,-26.899999999999995,"F509",-115,-107,"IR ","II",104,:,13.0, ,13.9, ,14.9, ," ",279,57,312.63,35.04,0.035, ,2,3,15.3,1,C,2,O,201.7675597222222,-27.159207777777773
139,1757,202.69999999999996,-23.03333333333333,"F509",-44,106,"I  ","III",50, ,18.5, ,18.7, ,19.3, ," ",208,270,315.33,38.57,, ,1,6,17.6,1,C,, ,203.38730805555554,-23.28955222222222
140,1771,204.84999999999997,-26.03333333333333,"F509",63,-54,"I  ","III",40, ,17.5, ,17.6, ,18.3, ," ",101,110,316.89,35.21,, ,0,6,17.5,1,C,, ,205.54891444444442,-26.28527583333333
141,1791,206.49999999999997,-25.199999999999996,"F510",-123,-9,"RI ","I",69,:,16.1,?,17.0,:,17.5,:," ",287,155,318.91,35.64,, ,1,6,17.4,1,O,1,C,207.2001983333333,-25.44842194444444
142,1794,206.94999999999996,-26.149999999999995,"F510",-101,-60,"IR ","II",92, ,15.5, ,16.4, ,16.8, ," ",265,104,319.08,34.61,, ,2,5,17.2,1,O,, ,207.65373499999998,-26.397423888888884
143,1802,207.12499999999997,-26.499999999999996,"F510",-92,-79,"RI ","I",93, ,15.4, ,16.1, ,17.5, ," ",256,85,319.14,34.23,, ,2,6,17.4,1,O,, ,207.83008805555554,-26.747031666666665
144,1816,208.22499999999997,-26.116666666666664,"F510",-40,-58,"I  ","II",85, ,16.3,*,18.0, ,18.4, ," ",204,106,320.42,34.32,, ,2,6,17.5,1,O,, ,208.93134138888885,-26.36118472222222
145,1822,208.94999999999996,-25.166666666666664,"F510",-5,-7,"R  ","I-II",110, ,17.5, ,18.2, ,18.8, ," ",169,157,321.53,35.03,, ,2,6,17.5,1,O,, ,209.65507249999996,-25.409479999999995
146,1846,210.24999999999997,-25.166666666666664,"F510",59,-8,"R  ","I-II",35, ,12.9,*,16.6, ,18.0, ," ",105,156,322.88,34.65,, ,0,6,17.5,1,O,, ,210.9576583333333,-25.406322499999998
147,1853,210.69999999999996,-19.53333333333333,"F578",34,26,"R  ","I-II",50, ,15.9, ,17.0, ,17.5, ," ",130,190,325.84,39.78,, ,1,6,17.4,1,O,, ,211.39197555555552,-19.77187972222222
148,1857,211.39999999999998,-24.449999999999996,"F510",114,29,"RI ","II",73, ,16.6, ,17.5, ,17.6, ," ",50,193,324.38,34.96,, ,1,6,17.4,1,O,, ,212.10768555555552,-24.686761666666662
149,1883,213.22499999999997,-23.08333333333333,"F511",-65,103,"I  ","II-III",83, ,18.0, ,18.1, ,19.4, ," ",229,267,326.9,35.6,, ,2,6,17.6,1,O,, ,213.93169888888886,-23.315307777777775
150,1924,217.17499999999998,-22.18333333333333,"F579",94,-116,"RI:","II",85, ,15.8,:,17.1, ,17.8, ," ",70,48,331.41,34.87,, ,2,6,17.4,4,O,, ,217.8852472222222,-22.40414222222222
151,1935,218.19999999999996,-19.199999999999996,"F580",-119,41,"IR:","II",94,:,15.2, ,17.2,:,18.8,:," ",283,205,334.19,37.05,, ,2,6,17.6,2,O,, ,218.90150277777775,-19.417748333333332
152,1945,219.34999999999997,-22.099999999999998,"F580",-61,-111,"I  ","II-III",48, ,17.8, ,17.8, ,18.5,:," ",225,53,333.61,34.0,, ,0,6,17.6,2,O,, ,220.06332444444442,-22.3142075
153,1977,222.34999999999997,-24.316666666666663,"F512",111,37,"R  ","II-III",96, ,17.0, ,17.2, ,17.7, ," ",53,201,335.11,30.69,, ,2,6,17.4,2,O,, ,223.0764622222222,-24.521252777777775
154,1981,222.62499999999997,-24.199999999999996,"F512",125,45,"RI ","II",53, ,16.8, ,16.8, ,18.3, ," ",39,209,335.43,30.66,, ,1,6,17.5,2,O,, ,223.35143972222218,-24.40367694444444
155,1996,223.64999999999998,-23.716666666666665,"F513",-92,69,"R  ","I",38, ,15.7, ,17.5, ,18.0, ," ",256,233,336.65,30.58,, ,0,6,17.5,1,O,, ,224.37610805555553,-23.91691472222222
156,2325,306.775,-25.149999999999995,"F528",-63,-6,"RI ","I-II",47, ,15.3, ,16.0, ,17.3, ," ",227,158,19.07,-31.95,, ,0,5,17.1,1,O,, ,307.51955111111107,-24.981855277777775
157,2328,311.34999999999997,-17.999999999999996,"F597",79,107,"R  ","I",46, ,15.9, ,16.8, ,17.5, ," ",85,271,28.78,-33.56,0.147, ,0,5,17.1,1,O,, ,312.05791722222216,-17.814759166666665
158,2330,313.69999999999993,-22.23333333333333,"F598",-67,-119,"I  ","III",102,?,16.7, ,17.0, ,18.0, ," ",231,45,24.82,-37.08,0.1138, ,2,5,17.1,1,O,2,C,314.42213749999996,-22.039696388888885
159,2332,314.19999999999993,-17.116666666666664,"F598",-43,155,"R  ","II",36, ,17.7, ,18.6, ,18.7, ," ",207,319,30.99,-35.76,, ,0,5,17.2,1,O,, ,314.9014780555555,-16.921330833333332
160,2333,314.49999999999994,-19.449999999999996,"F598",-27,30,"RI ","II",55, ,16.4, ,16.8, ,17.5, ," ",191,194,28.41,-36.87,, ,1,5,17.1,1,O,, ,315.21006472222217,-19.25361111111111
161,2334,315.32499999999993,-25.48333333333333,"F529",86,-22,"R  ","II:",111, ,18.0, ,18.5, ,19.1, ," ",78,142,21.41,-39.45,, ,2,6,17.4,2,C,, ,316.05802722222217,-25.284078888888885
162,2335,315.82499999999993,-21.999999999999996,"F598",39,-106,"R  ","I",121,?,17.3, ,17.8, ,18.4, ," ",125,58,25.88,-38.88,, ,2,5,17.2,1,O,3,C,316.54323416666665,-21.799083611111108
163,2336,316.15,-21.38333333333333,"F598",55,-73,"RI ","II",111, ,17.8, ,18.0, ,18.9, ," ",109,91,26.75,-38.97,, ,2,5,17.2,1,O,, ,316.8653886111111,-21.18133194444444
164,2337,318.65,-22.58333333333333,"F530",-23,132,"I  ","II-III?",35, ,17.3, ,17.6, ,18.4, ," ",187,296,26.19,-41.54,, ,0,6,17.3,1,C,, ,319.36630999999994,-22.37316222222222
165,2338,319.47499999999997,-26.316666666666663,"F530",22,-70,"I  ","II:",45, ,16.0,?,16.8, ,17.7, ," ",142,94,21.6,-43.27,, ,0,5,17.2,1,C,, ,320.2041394444444,-26.103864166666664
166,2339,319.525,-21.666666666666664,"F599",-40,-89,"RI ","II",26, ,15.8, ,16.8, ,17.4, ," ",204,75,27.7,-42.04,0.1128, ,0,5,17.2,1,O,, ,320.23663083333327,-21.453739166666665
167,2341,319.69999999999993,-23.416666666666664,"F530",29,88,"R  ","II-III",60, ,16.3, ,16.8,?,18.0, ," ",135,252,25.5,-42.71,, ,1,6,17.3,1,C,, ,320.4177594444444,-23.20318083333333
168,2344,320.72499999999997,-20.999999999999996,"F599",19,-53,"R  ","II",52, ,16.1, ,18.0, ,19.1, ," ",145,111,29.03,-42.89,0.1447, ,1,6,17.4,1,O,, ,321.43250638888884,-20.783368611111108
169,2347,321.69999999999993,-22.48333333333333,"F599",66,-132,"RI?","I",35, ,15.8, ,16.8, ,17.6, ," ",98,32,27.46,-44.21,0.1196, ,0,5,17.2,1,O,1,C,322.4112111111111,-22.263749444444443
170,2357,323.47499999999997,-23.48333333333333,"F531",-54,83,"RI:","III",45, ,16.7, ,17.0, ,17.7, ," ",218,247,26.75,-46.06,, ,0,5,17.2,1,C,1,O,324.18674527777773,-23.25854972222222
171,2364,324.79999999999995,-20.549999999999997,"F600",-39,-28,"I  ","II-III",45, ,16.7, ,17.5, ,18.1, ," ",203,136,31.33,-46.36,, ,0,6,17.3,1,O,, ,325.5000169444444,-20.32149583333333
172,2365,325.04999999999995,-18.916666666666664,"F600",-26,59,"R  ","II",59, ,15.5,*,18.1, ,19.2, ," ",190,223,33.67,-46.04,, ,1,6,17.4,1,O,, ,325.7445666666666,-18.68747972222222
173,2369,325.49999999999994,-18.583333333333332,"F600",-3,77,"R: ","I",21, ,18.0, ,18.6, ,19.1, ," ",167,241,34.33,-46.32,, ,0,6,17.4,1,O,, ,326.1929380555555,-18.352914166666665
174,2370,325.54999999999995,-19.78333333333333,"F600",-1,13,"I  ","II-III",31, ,15.6, ,16.0, ,16.8, ," ",165,177,32.71,-46.78,, ,0,5,17.0,1,O,, ,326.24652888888886,-19.552771666666665
175,2372,325.62499999999994,-20.216666666666665,"F600",2,-11,"RI ","I",42, ,14.8, ,15.7, ,16.6, ," ",162,153,32.15,-46.99,, ,0,5,16.8,1,O,, ,326.32275222222216,-19.985898611111107
176,2371,325.62499999999994,-24.43333333333333,"F531",49,36,"I  ","III",59, ,16.5, ,17.0, ,17.6, ," ",115,200,26.16,-48.2,, ,1,5,17.2,1,C,1,O,326.3361275,-24.202542777777776
177,2375,325.79999999999995,-19.38333333333333,"F600",12,34,"RI ","II",60, ,16.1, ,17.5, ,18.7, ," ",152,198,33.38,-46.87,, ,1,6,17.3,1,O,, ,326.4949502777777,-19.152095277777775
178,2378,326.12499999999994,-20.23333333333333,"F600",28,-12,"RI ","II",8, ,15.4, ,16.4, ,16.7, ," ",136,152,32.35,-47.44,, ,0,5,16.9,1,O,, ,326.8220616666666,-20.001215277777774
179,2383,327.29999999999995,-21.449999999999996,"F600",86,-78,"RI?","II",5, ,17.1, ,17.4, ,17.8, ," ",78,86,31.13,-48.86,, ,0,5,17.2,2,O,, ,327.99891611111104,-21.21477333333333
180,2384,327.4,-19.78333333333333,"F600",92,12,"R  ","II",72, ,15.8, ,16.2, ,17.2, ," ",72,176,33.57,-48.42,0.0943, ,1,5,17.2,2,O,, ,328.0938322222222,-19.547855555555554
181,2385,327.54999999999995,-23.816666666666663,"F532",-125,64,"I  ","II-III",44, ,17.4, ,17.8, ,18.6, ," ",289,228,27.75,-49.74,, ,0,6,17.3,2,C,1,O,328.25567138888886,-23.580781111111108
182,2394,328.19999999999993,-19.48333333333333,"F600",133,27,"RI ","II:",27, ,15.4, ,16.0, ,17.8, ," ",31,191,34.38,-49.03,, ,0,5,17.2,2,O,, ,328.8917933333333,-19.245806666666663
